"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Gerard Jacob Theodoor Beelaerts van Blokland","Gerard Jacob Theodoor Beelaerts van Blokland","00076",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Jacob Theodoor Cremer","Jacob Theodoor Cremer","00279",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"Carel Victor Gerritsen","Carel Victor Gerritsen","00450",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Wiel Nolens","Wilhelmus Hubertus Nolens","00981",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"Andries Popke Staalman","Andries Popke Staalman","01293",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"Arie Colijn","Anthonie Colijn","00262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Abraham Staalman","Abraham Staalman","01292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Franciscus Johannes Jespers","Franciscus Johannes Jespers","00642",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cornelis van Foreest ","Cornelis Foreest","00416",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franciscus Johannes Emilius van Zinnicq Bergmann","Franciscus Joannes Emilius Zinnicq Bergmann","01601",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frederik Willem Jacob van Aylva van Pallandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Willem Cornelis Johannes Josephus Cremers","Willem Cornelis Johannes Josephus Cremers","00282",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Hendrik Johannes Bool","Hendrik Johannes Bool","00160",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Hendrik Adriaan van Beuningen","Hendrik Adriaan Beuningen","00107",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Adrien Jonathan Rethaan Macaré","Adrien Jonathan Rethaan Macaré","01101",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"François Isidore Joseph Janssen","Franciscus Isidorus Josephus Janssen","00638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Johan Heinrich Blum","Johan Heinrich Blum","00135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Willem Otto Adriaan Koster","Willem Otto Adriaan Koster","00742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Jan Hendrik Joseph Beckers","Jan Hendrik Joseph Beckers","00072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"Gijsbertus Martinus van der Linden","Gijsbertus Martinus Linden","00828",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Willem Groen van Prinsterer","Guillaume Groen van Prinsterer","00485",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willem Jan Knoop","Willem Jan Knoop","00711",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Stoffel","Jan Stoffel","01305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hendrik Bijleveld ","Hendrik Bijleveld","00246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bernardus Dirks Eerdmans","Bernardus Dirks Eerdmans","00369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Adolf Robbert van de Laar","Adolf Robbert Laar","00774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Karel Adrianus Meeussen","Karel Adrianus Meeussen","00895",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willem Hendrik van Idzerda","Wieger Hendrikus Idzerda","00625",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herman Albrecht Insinger","Herman Albrecht Insinger","00628",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaäc Burchard Diederik van den Berch van Heemstede","Isaäc Burchard Diederik Berch van Heemstede","00087",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"Willy Kruyt","John William Kruyt","00757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nicolaas Olivier","Nicolaas Olivier","01000",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieter Philip van Bosse","Pieter Philip Bosse","00184",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leopold Haffmans","Johannes Hendrik Leopold Haffmans","00508",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Idzerd Frans van Humalda van Eysinga","Idzerd Frans Humalda van Eysinga","00618",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilco Julius van Welderen Rengers","Wilco Julius Welderen baron Rengers","01518",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
