gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
126554,000003,20000605,,I0003,AGILENT TECHNOLOGIES INC,A,00846U101,0001090872,3826
025434,000003,20000608,,I0003,STARBUCKS CORP,SBUX,855244109,0000829224,5812
013646,000003,20000621,,I0003,TIFFANY & CO,TIF,886547108,0000098246,5944
014934,000003,20000830,,I0003,DEVON ENERGY CORP,DVN,25179M103,0001090012,1311
139665,000003,20001003,,I0003,MOODY'S CORP,MCO,615369105,0001059556,7323
007974,000003,20001102,,I0003,NISOURCE INC,NI,65473P105,0001111711,4932
016478,000003,20001102,,I0003,EOG RESOURCES INC,EOG,26875P101,0000821189,1311
002312,000003,20001205,,I0003,ROBERT HALF INTL INC,RHI,770323103,0000315213,7363
027928,000003,20001211,,I0003,INTUIT INC,INTU,461202103,0000896878,7372
133768,000003,20001211,,I0003,METLIFE INC,MET,59156R108,0001099219,6311
010115,000003,20001212,,I0003,STRYKER CORP,SYK,863667101,0000310764,3842
003062,000003,20010301,,I0003,CINTAS CORP,CTAS,172908105,0000723254,7200
012635,000003,20010402,,I0003,FISERV INC,FISV,337738108,0000798354,7374
011687,000003,20010625,,I0003,ZIONS BANCORPORATION NA,ZION,989701107,0000109380,6020
144559,000003,20010807,,I0003,ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,0001136869,3842
031673,000003,20010830,,I0003,AMERISOURCEBERGEN CORP,ABC,03073E105,0001140859,5122
117768,000003,20011130,,I0003,NVIDIA CORP,NVDA,67066G104,0001045810,3674
028733,000003,20011203,,I0003,EQUITY RESIDENTIAL,EQR,29476L107,0000906107,6798
061574,000003,20020102,,I0003,WATERS CORP,WAT,941848103,0001000697,3826
029389,000003,20020626,,I0003,SIMON PROPERTY GROUP INC,SPG,828806109,0001063761,6798
010920,000003,20020722,,I0003,UNITED PARCEL SERVICE INC,UPS,911312106,0001090727,4210
016721,000003,20020722,,I0003,ELECTRONIC ARTS INC,EA,285512109,0000712515,7372
114524,000003,20020722,,I0003,EBAY INC,EBAY,278642103,0001065088,7370
114628,000003,20020722,,I0003,GOLDMAN SACHS GROUP INC,GS,38141G104,0000886982,6211
143356,000003,20020722,,I0003,PRUDENTIAL FINANCIAL INC,PRU,744320102,0001137774,6311
145701,000003,20020722,,I0003,PRINCIPAL FINANCIAL GRP INC,PFG,74251V102,0001126328,6282
145046,000003,20020725,,I0003,ANTHEM INC,ANTM,036752103,0001156039,6324
062689,000003,20020821,,I0003,TRAVELERS COS INC,TRV,89417E109,0000086312,6331
003226,000003,20021119,,I0003,COMCAST CORP,CMCSA,20030N101,0001166691,4841
064166,000003,20021212,,I0003,QUEST DIAGNOSTICS INC,DGX,74834L100,0001022079,8071
030490,000003,20030314,,I0003,APARTMENT INVST & MGMT CO,AIV,03748R754,0000922864,6798
007146,000003,20030321,,I0003,MCCORMICK & CO INC,MKC,579780206,0000063754,2090
015855,000003,20030331,,I0003,NORTONLIFELOCK INC,NLOK,668771108,0000849399,7372
029984,000003,20030717,,I0003,PROLOGIS INC,PLD,74340W103,0001045609,6798
024468,000003,20031113,,I0003,BIOGEN INC,BIIB,09062X103,0000875045,2836
004699,000003,20040227,,I0003,M & T BANK CORP,MTB,55261F104,0000036270,6020
063501,000003,20040401,,I0003,E TRADE FINANCIAL CORP,ETFC,269246401,0001015780,6211
007637,000003,20040423,,I0003,MYLAN NV,MYL,N59465109,0001623613,2834
015247,000003,20040429,,I0003,VALERO ENERGY CORP,VLO,91913Y100,0001035002,2911
024856,000003,20040701,,I0003,GILEAD SCIENCES INC,GILD,375558103,0000882095,2836
140541,000003,20040901,,I0003,TAPESTRY INC,TPR,876030107,0001116132,3100
014960,000003,20041101,,I0003,LABORATORY CP OF AMER HLDGS,LH,50540R409,0000920148,8071
063892,000003,20050314,,I0003,NATIONAL OILWELL VARCO INC,NOV,637071101,0001021860,3533
002710,000003,20050705,,I0003,CONSTELLATION BRANDS,STZ,21036P108,0000016918,2082
025340,000003,20050705,,I0003,D R HORTON INC,DHI,23331A109,0000882184,1531
010793,000003,20050811,,I0003,TYSON FOODS INC  -CL A,TSN,902494103,0000100493,2011
011220,000003,20050812,,I0003,VORNADO REALTY TRUST,VNO,929042109,0000899689,6798
010096,000003,20050819,,I0003,PUBLIC STORAGE,PSA,74460D109,0001393311,6798
164708,000003,20051003,,I0003,AMERIPRISE FINANCIAL INC,AMP,03076C106,0000820027,6211
006669,000003,20051004,,I0003,LENNAR CORP,LEN,526057104,0000920760,1531
064768,000003,20051121,,I0003,AMAZON.COM INC,AMZN,023135106,0001018724,5961
165675,000003,20060103,20191204,I0003,VIACOM INC,VIAB,92553P201,0001339947,4833
061567,000003,20060105,,I0003,LAUDER (ESTEE) COS INC -CL A,EL,518439104,0001001250,2844
066368,000003,20060201,,I0003,VERISIGN INC,VRSN,92343E102,0001014473,7370
024731,000003,20060403,,I0003,KIMCO REALTY CORP,KIM,49446R109,0000879101,6798
064925,000003,20060403,,I0003,BOSTON PROPERTIES INC,BXP,101121101,0001037540,6798
