 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
HPQ       Market-Adjusted Model            .        .        .     
NI        Market-Adjusted Model            .        .        .     
TJX       Market-Adjusted Model            .        .        .     
MAA       Market-Adjusted Model            .        .        .     
CMI       Market-Adjusted Model            .        .        .     
ZION      Market-Adjusted Model            .        .        .     
VMC       Market-Adjusted Model            .        .        .     
SBAC      Market-Adjusted Model            .        .        .     
O         Market-Adjusted Model            .        .        .     
EXPD      Market-Adjusted Model            .        .        .     
CBOE      Market-Adjusted Model            .        .        .     
UNM       Market-Adjusted Model            .        .        .     
TFC       Market-Adjusted Model            .        .        .     
LVS       Market-Adjusted Model            .        .        .     
RSG       Market-Adjusted Model            .        .        .     
LMT       Market-Adjusted Model            .        .        .     
EFX       Market-Adjusted Model            .        .        .     
EMN       Market-Adjusted Model            .        .        .     
RMD       Market-Adjusted Model            .        .        .     
WRK       Market-Adjusted Model            .        .        .     
C         Market-Adjusted Model            .        .        .     
MCK       Market-Adjusted Model            .        .        .     
GOOGL     Market-Adjusted Model            .        .        .     
SRE       Market-Adjusted Model            .        .        .     
CTXS      Market-Adjusted Model            .        .        .     
IPGP      Market-Adjusted Model            .        .        .     
MSFT      Market-Adjusted Model            .        .        .     
DFS       Market-Adjusted Model            .        .        .     
RTN       Market-Adjusted Model            .        .        .     
DTE       Market-Adjusted Model            .        .        .     
ROST      Market-Adjusted Model            .        .        .     
DLTR      Market-Adjusted Model            .        .        .     
ADBE      Market-Adjusted Model            .        .        .     
AME       Market-Adjusted Model            .        .        .     
JNPR      Market-Adjusted Model            .        .        .     
NBL       Market-Adjusted Model            .        .        .     
KMI       Market-Adjusted Model            .        .        .     
D         Market-Adjusted Model            .        .        .     
BXP       Market-Adjusted Model            .        .        .     
AAPL      Market-Adjusted Model            .        .        .     
FLT       Market-Adjusted Model            .        .        .     
DHI       Market-Adjusted Model            .        .        .     
AMP       Market-Adjusted Model            .        .        .     
HSIC      Market-Adjusted Model            .        .        .     
BA        Market-Adjusted Model            .        .        .     
CE        Market-Adjusted Model            .        .        .     
DRI       Market-Adjusted Model            .        .        .     
ORCL      Market-Adjusted Model    05DEC2019      -10       0.00271
ORCL      Market-Adjusted Model    05DEC2019       -9       0.00116
ORCL      Market-Adjusted Model    05DEC2019       -8       0.00039
ORCL      Market-Adjusted Model    05DEC2019       -7      -0.00625
ORCL      Market-Adjusted Model    05DEC2019       -6      -0.00284
ORCL      Market-Adjusted Model    05DEC2019       -5      -0.00269
ORCL      Market-Adjusted Model    05DEC2019       -4      -0.00416
ORCL      Market-Adjusted Model    05DEC2019       -3      -0.00402
ORCL      Market-Adjusted Model    05DEC2019       -2      -0.00862
ORCL      Market-Adjusted Model    05DEC2019       -1      -0.00937
ORCL      Market-Adjusted Model    05DEC2019        0       0.00359
ORCL      Market-Adjusted Model    05DEC2019        1      -0.00643
ORCL      Market-Adjusted Model    05DEC2019        2       0.01198
ORCL      Market-Adjusted Model    05DEC2019        3       0.00995
ORCL      Market-Adjusted Model    05DEC2019        4       0.00591
ORCL      Market-Adjusted Model    05DEC2019        5      -0.00623
ORCL      Market-Adjusted Model    05DEC2019        6      -0.03448
ORCL      Market-Adjusted Model    05DEC2019        7      -0.01701
ORCL      Market-Adjusted Model    05DEC2019        .      -0.02237
ORCL      Market-Adjusted Model    05DEC2019        .       0.01084
ORCL      Market-Adjusted Model    05DEC2019        .      -0.00718
ORCL      Market-Adjusted Model    20NOV2019      -10       0.00098
ORCL      Market-Adjusted Model    20NOV2019       -9       0.00117
ORCL      Market-Adjusted Model    20NOV2019       -8       0.00595
ORCL      Market-Adjusted Model    20NOV2019       -7       0.00078
ORCL      Market-Adjusted Model    20NOV2019       -6       0.00118
ORCL      Market-Adjusted Model    20NOV2019       -5      -0.00687
ORCL      Market-Adjusted Model    20NOV2019       -4      -0.00289
ORCL      Market-Adjusted Model    20NOV2019       -3      -0.00158
ORCL      Market-Adjusted Model    20NOV2019       -2      -0.00434
ORCL      Market-Adjusted Model    20NOV2019       -1       0.00116
ORCL      Market-Adjusted Model    20NOV2019        0       0.00271
ORCL      Market-Adjusted Model    20NOV2019        1       0.00116
ORCL      Market-Adjusted Model    20NOV2019        2       0.00039
ORCL      Market-Adjusted Model    20NOV2019        3      -0.00625
ORCL      Market-Adjusted Model    20NOV2019        4      -0.00284
ORCL      Market-Adjusted Model    20NOV2019        5      -0.00269
ORCL      Market-Adjusted Model    20NOV2019        6      -0.00416
ORCL      Market-Adjusted Model    20NOV2019        7      -0.00402
ORCL      Market-Adjusted Model    20NOV2019        8      -0.00862
ORCL      Market-Adjusted Model    20NOV2019        9      -0.00937
ORCL      Market-Adjusted Model    20NOV2019       10       0.00359
MSFT      Market-Adjusted Model    05DEC2019      -10       0.00151
MSFT      Market-Adjusted Model    05DEC2019       -9       0.00040
MSFT      Market-Adjusted Model    05DEC2019       -8      -0.00172
MSFT      Market-Adjusted Model    05DEC2019       -7       0.00170
MSFT      Market-Adjusted Model    05DEC2019       -6       0.00333
MSFT      Market-Adjusted Model    05DEC2019       -5      -0.00255
MSFT      Market-Adjusted Model    05DEC2019       -4      -0.00203
MSFT      Market-Adjusted Model    05DEC2019       -3      -0.00346
MSFT      Market-Adjusted Model    05DEC2019       -2       0.00493
MSFT      Market-Adjusted Model    05DEC2019       -1      -0.00245
MSFT      Market-Adjusted Model    05DEC2019        0      -0.00084
MSFT      Market-Adjusted Model    05DEC2019        1       0.00297
MSFT      Market-Adjusted Model    05DEC2019        2       0.00066
MSFT      Market-Adjusted Model    05DEC2019        3      -0.00079
MSFT      Market-Adjusted Model    05DEC2019        4       0.00090
MSFT      Market-Adjusted Model    05DEC2019        5       0.00108
MSFT      Market-Adjusted Model    05DEC2019        6       0.00865
MSFT      Market-Adjusted Model    05DEC2019        7      -0.00100
MSFT      Market-Adjusted Model    05DEC2019        .      -0.00647
MSFT      Market-Adjusted Model    05DEC2019        .      -0.00164
MSFT      Market-Adjusted Model    05DEC2019        .       0.00431
MSFT      Market-Adjusted Model    20NOV2019      -10      -0.00233
MSFT      Market-Adjusted Model    20NOV2019       -9      -0.00247
MSFT      Market-Adjusted Model    20NOV2019       -8       0.00862
MSFT      Market-Adjusted Model    20NOV2019       -7       0.00287
MSFT      Market-Adjusted Model    20NOV2019       -6       0.00491
MSFT      Market-Adjusted Model    20NOV2019       -5       0.00147
MSFT      Market-Adjusted Model    20NOV2019       -4       0.00433
MSFT      Market-Adjusted Model    20NOV2019       -3       0.00544
MSFT      Market-Adjusted Model    20NOV2019       -2       0.00221
MSFT      Market-Adjusted Model    20NOV2019       -1       0.00007
MSFT      Market-Adjusted Model    20NOV2019        0       0.00151
MSFT      Market-Adjusted Model    20NOV2019        1       0.00040
MSFT      Market-Adjusted Model    20NOV2019        2      -0.00172
MSFT      Market-Adjusted Model    20NOV2019        3       0.00170
